year,game_id,contact,n,percent
2017,1,TRUE,62,36.68639053254438
2017,2,TRUE,238,42.88288288288288
2017,3,TRUE,221,47.939262472885034
2017,4,TRUE,331,41.951837769328264
2017,5,TRUE,264,40.93023255813954
2017,6,TRUE,361,43.4416365824308
2017,7,TRUE,381,45.628742514970064
2017,8,TRUE,410,47.953216374269005
2017,9,TRUE,228,42.53731343283582
2017,10,TRUE,320,44.63040446304045
2017,11,TRUE,369,46.590909090909086
2017,12,TRUE,290,45.74132492113564
2017,13,TRUE,395,47.19235364396654
2017,14,TRUE,345,45.39473684210527
2017,15,TRUE,299,43.333333333333336
2017,16,TRUE,235,48.057259713701434
2017,17,TRUE,381,47.09517923362176
2017,18,TRUE,265,39.969834087481146
2017,19,TRUE,251,45.388788426763114
2017,20,TRUE,380,46.06060606060606
2017,21,TRUE,347,43.924050632911396
2017,22,TRUE,351,44.04015056461731
2017,23,TRUE,202,45.70135746606335
2017,24,TRUE,326,49.92343032159265
2017,25,TRUE,357,43.91143911439114
2017,26,TRUE,260,48.4171322160149
2017,27,TRUE,355,43.23995127892813
2017,28,TRUE,327,43.89261744966443
2017,29,TRUE,379,44.37939110070258
2017,30,TRUE,281,45.76547231270358
2017,31,TRUE,392,44.59613196814562
2017,32,TRUE,346,44.76067270375162
2017,33,TRUE,296,44.57831325301205
2017,34,TRUE,374,43.58974358974359
2017,35,TRUE,401,46.900584795321635
2017,36,TRUE,385,45.18779342723005
2017,37,TRUE,258,45.10489510489511
2017,38,TRUE,389,44.10430839002268
2017,39,TRUE,376,50.53763440860215
2017,40,TRUE,251,47.71863117870723
2017,41,TRUE,360,46.814044213263976
2017,42,TRUE,418,45.934065934065934
2017,43,TRUE,432,47.368421052631575
2017,44,TRUE,205,45.964125560538115
2017,45,TRUE,390,49.42965779467681
2017,46,TRUE,394,49.3116395494368
2017,47,TRUE,315,46.25550660792951
2017,48,TRUE,428,45.775401069518715
2017,49,TRUE,409,48.80668257756563
2017,50,TRUE,349,44.62915601023018
2017,51,TRUE,213,45.806451612903224
2017,52,TRUE,383,48.29760403530896
2017,53,TRUE,333,43.190661478599225
2017,54,TRUE,254,48.19734345351044
2017,55,TRUE,396,45.10250569476082
2017,56,TRUE,376,43.77182770663563
2017,57,TRUE,437,47.396963123644255
2017,58,TRUE,402,45.73378839590443
2017,59,TRUE,367,41.328828828828826
2017,60,TRUE,386,45.25205158264947
2017,61,TRUE,186,42.369020501138955
2017,62,TRUE,388,46.63461538461539
2017,63,TRUE,417,46.33333333333333
2017,64,TRUE,430,46.637744034707154
2017,65,TRUE,174,44.274809160305345
2017,66,TRUE,367,43.794749403341285
2017,67,TRUE,337,42.38993710691824
2017,68,TRUE,290,42.64705882352941
2017,69,TRUE,388,46.85990338164252
2017,70,TRUE,401,47.455621301775146
2017,71,TRUE,387,45.26315789473684
2017,72,TRUE,225,47.071129707112966
2017,73,TRUE,426,48.4641638225256
2017,74,TRUE,384,46.77222898903776
2017,75,TRUE,304,48.796147672552166
2017,76,TRUE,383,47.6961394769614
2017,77,TRUE,441,46.86503719447396
2017,78,TRUE,375,43.859649122807014
2017,79,TRUE,309,46.18834080717489
2017,80,TRUE,409,46.424517593643586
2017,81,TRUE,399,45.6
2017,82,TRUE,355,47.651006711409394
2017,83,TRUE,393,46.841477949940405
2017,84,TRUE,363,45.60301507537689
2017,85,TRUE,432,47.524752475247524
2017,86,TRUE,218,47.80701754385965
2017,87,TRUE,411,45.92178770949721
2017,88,TRUE,388,44.7520184544406
2017,89,TRUE,318,49.30232558139535
2017,90,TRUE,351,44.15094339622642
2017,91,TRUE,500,48.44961240310077
2017,92,TRUE,480,47.76119402985074
2017,93,TRUE,231,43.667296786389414
2017,94,TRUE,393,45.91121495327103
2017,95,TRUE,351,45.822454308093995
2017,96,TRUE,332,47.76978417266187
2017,97,TRUE,423,48.06818181818181
2017,98,TRUE,333,43.30299089726918
2017,99,TRUE,368,43.966547192353644
2017,100,TRUE,409,45.49499443826474
2017,101,TRUE,401,47.2877358490566
2017,102,TRUE,345,43.07116104868914
2017,103,TRUE,300,45.45454545454545
2017,104,TRUE,376,47.898089171974526
2017,105,TRUE,379,47.91403286978508
2017,106,TRUE,239,49.68814968814969
2017,107,TRUE,394,45.81395348837209
2017,108,TRUE,399,45.39249146757679
2017,109,TRUE,357,43.75
2017,110,TRUE,313,44.650499286733236
2017,111,TRUE,416,48.25986078886311
2017,112,TRUE,418,46.96629213483146
2017,113,TRUE,198,44.5945945945946
2017,114,TRUE,283,42.4287856071964
2017,115,TRUE,413,43.84288747346072
2017,116,TRUE,440,46.41350210970464
2017,117,TRUE,213,47.75784753363229
2017,118,TRUE,380,48.717948717948715
2017,119,TRUE,305,45.86466165413533
2017,120,TRUE,318,43.80165289256198
2017,121,TRUE,357,44.18316831683168
2017,122,TRUE,384,44.13793103448276
2017,123,TRUE,388,45.433255269320846
2017,124,TRUE,156,45.481049562682216
2017,125,TRUE,339,44.84126984126984
2017,126,TRUE,393,47.17887154861945
2017,127,TRUE,302,46.96734059097978
2017,128,TRUE,353,45.72538860103627
2017,129,TRUE,422,48.673587081891576
2017,130,TRUE,374,42.59681093394077
2017,131,TRUE,257,44.23407917383821
2017,132,TRUE,374,45.27845036319613
2017,133,TRUE,321,42.18134034165571
2017,134,TRUE,258,41.951219512195124
2017,135,TRUE,401,48.60606060606061
2017,136,TRUE,353,43.58024691358025
2017,137,TRUE,389,46.420047732696894
2017,138,TRUE,283,51.736745886654475
2017,139,TRUE,398,47.55077658303465
2017,140,TRUE,370,44.25837320574163
2017,141,TRUE,307,45.54896142433235
2017,142,TRUE,367,45.252774352651045
2017,143,TRUE,390,46.706586826347305
2017,144,TRUE,419,45.005370569280345
2017,145,TRUE,219,42.52427184466019
2017,146,TRUE,379,43.663594470046085
2017,147,TRUE,383,47.51861042183623
2017,148,TRUE,274,48.754448398576514
2017,149,TRUE,336,45.16129032258064
2017,150,TRUE,497,48.15891472868217
2017,151,TRUE,378,46.43734643734644
2017,152,TRUE,396,47.14285714285714
2017,153,TRUE,403,46.05714285714286
2017,154,TRUE,382,47.57160647571607
2017,155,TRUE,246,46.502835538752365
2017,156,TRUE,402,44.321940463065054
2017,157,TRUE,390,43.624161073825505
2017,158,TRUE,375,45.39951573849879
2017,159,TRUE,202,43.25481798715203
2017,160,TRUE,371,47.50320102432779
2017,161,TRUE,371,45.354523227383865
2017,162,TRUE,322,45.352112676056336
2017,163,TRUE,356,43.68098159509202
2017,164,TRUE,382,46.928746928746925
2017,165,TRUE,383,44.27745664739884
2017,166,TRUE,186,45.925925925925924
2017,167,TRUE,420,48.10996563573883
2017,168,TRUE,392,45.74095682613769
2017,169,TRUE,267,44.27860696517413
2017,170,TRUE,287,40.883190883190885
2017,171,TRUE,400,48.721071863581
2017,172,TRUE,382,44.626168224299064
2017,173,TRUE,277,45.18760195758564
2017,174,TRUE,372,45.532435740514074
2017,175,TRUE,385,47.066014669926645
2017,176,TRUE,217,39.0990990990991
2017,177,TRUE,375,44.37869822485207
2017,178,TRUE,389,46.642685851318944
2017,179,TRUE,364,43.23040380047506
2018,1,TRUE,352,43.03178484107579
2018,2,TRUE,283,43.7403400309119
2018,3,TRUE,350,44.81434058898848
2018,4,TRUE,297,45.20547945205479
2018,5,TRUE,316,43.888888888888886
2018,6,TRUE,345,46.12299465240642
2018,7,TRUE,288,42.415316642120764
2018,8,TRUE,273,43.96135265700483
2018,9,TRUE,232,48.9451476793249
2018,10,TRUE,384,41.69381107491857
2018,11,TRUE,387,44.79166666666667
2018,12,TRUE,254,39.258114374034
2018,13,TRUE,351,44.77040816326531
2018,14,TRUE,369,42.36509758897819
2018,15,TRUE,212,47.006651884700666
2018,16,TRUE,367,46.16352201257862
2018,17,TRUE,345,47.91666666666667
2018,18,TRUE,215,37.45644599303136
2018,19,TRUE,250,42.73504273504273
2018,20,TRUE,306,39.84375
2018,21,TRUE,309,44.58874458874459
2018,22,TRUE,205,44.086021505376344
2018,23,TRUE,454,48.14422057264051
2018,24,TRUE,338,43.00254452926209
2018,25,TRUE,366,47.347994825355755
2018,26,TRUE,234,48.64864864864865
2018,27,TRUE,345,42.02192448233861
2018,28,TRUE,387,43.288590604026844
2018,29,TRUE,263,47.132616487455195
2018,30,TRUE,373,47.881899871630296
2018,31,TRUE,433,46.55913978494623
2018,32,TRUE,382,44.470314318975554
2018,33,TRUE,270,46.71280276816609
2018,34,TRUE,340,44.38642297650131
2018,35,TRUE,400,45.662100456621005
2018,36,TRUE,230,43.151969981238274
2018,37,TRUE,349,44.34561626429479
2018,38,TRUE,343,42.398022249690975
2018,39,TRUE,347,44.89003880983182
2018,40,TRUE,193,49.10941475826972
2018,41,TRUE,367,46.105527638190956
2018,42,TRUE,362,44.52644526445265
2018,43,TRUE,275,47.74305555555556
2018,44,TRUE,450,46.43962848297213
2018,45,TRUE,317,42.8958051420839
2018,46,TRUE,399,45.96774193548387
2018,47,TRUE,210,45.258620689655174
2018,48,TRUE,352,45.47803617571059
2018,49,TRUE,352,47.56756756756757
2018,50,TRUE,221,43.84920634920635
2018,51,TRUE,385,45.83333333333333
2018,52,TRUE,443,47.32905982905983
2018,53,TRUE,396,44.8471121177803
2018,54,TRUE,205,46.380090497737555
2018,55,TRUE,373,44.88567990373045
2018,56,TRUE,356,43.09927360774818
2018,57,TRUE,219,46.496815286624205
2018,58,TRUE,347,44.31673052362707
