name,salary,mlbid
Jonathan Hernandez,"$587,500",642546
Aaron Civale,"$587,400",650644
Spencer Turnbull,"$586,900",605513
Nick Margevicius,"$586,900",676606
Jorge Lopez,"$586,750",605347
Michael King,"$586,500",650633
Cal Quantrill,"$586,200",615698
Kevin Ginkel,"$585,900",656464
David Peterson,"$585,750",656849
Jeff Hoffman,"$585,500",656546
Daniel Poncedeleon,"$585,500",594965
Jeffrey Springs,"$585,000",605488
Nabil Crismatt,"$585,000",622503
James Karinchak,"$585,000",675916
Matt Foster,"$585,000",641582
Codi Heuer,"$585,000",676051
Justin Dunn,"$584,900",643290
Thomas Hatch,"$584,800",641672
Kolby Allard,"$584,250",663465
Adam Plutko,"$584,200",592644
Adrian Houser,"$584,100",605288
Jordan Romano,"$584,000",605447
Pete Fairbanks,"$583,800",664126
Taylor Widener,"$583,400",642203
Caleb Baragar,"$583,000",670056
Tyler Rogers,"$583,000",643511
Logan Webb,"$583,000",657277
Taylor Hearn,"$582,500",621368
Kyle Finnegan,"$582,400",640448
Riley Smith,"$582,300",642092
Diego Castillo,"$582,300",650895
Ryan Helsley,"$582,300",664854
Cody Reed,"$581,200",642003
Paul Fry,"$581,000",643316
Trevor Richards,"$580,900",670950
Genesis Cabrera,"$580,900",650893
Tejay Antone,"$580,500",622088
J.B. Wendelken,"$580,500",605525
Victor Gonzalez,"$580,500",624647
Josh Taylor,"$580,500",657031
Huascar Ynoa,"$580,500",660623
Tyler Kinley,"$580,500",641755
Austin Adams,"$580,200",613534
Luis Garcia,"$580,100",671277
Tanner Scott,"$580,000",656945
Joel Payamps,"$580,000",606303
Gregory Soto,"$579,600",642397
Elieser Hernandez,"$579,000",622694
David Bednar,"$579,000",670280
Tyler Alexander,"$578,800",641302
Anthony Misiewicz,"$578,700",664948
Darwinzon Hernandez,"$578,500",650382
Julian Merryweather,"$578,400",657240
Jake Woodford,"$578,300",663765
Eric Yardley,"$577,800",642233
Colin Poche,"$577,800",621363
Taylor Williams,"$577,500",592865
Ryan Thompson,"$577,200",657044
Bryan Garcia,"$576,600",650530
Cesar Valdez,"$576,500",491624
Dillon Maples,"$576,500",596027
Jesus Luzardo,"$575,500",666200
Jorge Alcala,"$575,500",660896
Ian Anderson,"$575,500",666120
Yency Almonte,"$575,500",622075
Austin Gomber,"$575,500",596295
Peter Lambert,"$575,500",663567
Triston McKenzie,"$575,300",663474
Rony Garcia,"$575,000",665621
Andres Munoz,"$575,000",662253
Jose Castillo,"$575,000",620454
Jimmy Cordero,"$575,000",622772
Jose Ruiz,"$575,000",614179
Erick Fedde,"$575,000",607200
Tyler Beede,"$575,000",595881
Sam Howard,"$575,000",607572
Cole Sulser,"$574,500",642121
Dillon Tate,"$574,500",622253
Drew Smith,"$574,500",622098
Tarik Skubal,"$574,300",669373
Michel Baez,"$574,200",673258
Casey Mize,"$574,100",663554
Bryan Abreu,"$574,100",650556
Hunter Harvey,"$574,000",640451
Wil Crowe,"$574,000",640444
Kyle Cody,"$573,500",621129
Josh Sborz,"$573,500",622250
Cole Irvin,"$573,000",608344
Adbert Alzolay,"$573,000",640470
Sam Coonrod,"$573,000",656322
Adrian Morejon,"$572,900",670970
Dean Kremer,"$572,500",665152
Dane Dunning,"$572,500",641540
John King,"$572,500",667463
J.P. Feyereisen,"$572,400",656420
Garrett Crochet,"$572,000",676979
Clarke Schmidt,"$571,925",657376
Emmanuel Clase,"$571,800",661403
Bruce Zimmermann,"$571,500",669145
Connor Brogdon,"$571,500",641401
Demarcus Evans,"$571,500",663770
Ryan Weathers,"$570,700",677960
Johan Oviedo,"$570,500",670912
Angel Rondon,"$570,500",667373
Ben Bowden,"$570,500",641386
Dominic Leone,"$570,500",608678
Chase De Jong,"$570,500",608328
Zack Littell,"$570,500",641793
Lucas Gilbreath,"$570,500",656458
Geoff Hartlieb,"$570,500",664129
Conner Menez,"$570,500",669214
Kodi Whitley,"$570,500",676831
Luis Oviedo,"$570,500",665854
Jordan Sheffield,"$570,500",642068
Jimmie Sherfy,"$570,500",642073
J.B. Bukauskas,"$570,500",656266
Humberto Castellanos,"$570,500",528748
Brandon Bailey,"$570,500",669064
Brad Brach,"$570,500",542960
Seth Frankoff,"$570,500",571676
Ashton Goudeau,"$570,500",623485
Vladimir Gutierrez,"$570,500",661269
Ryan Hendrix,"$570,500",641682
Keegan Akin,"$570,500",669211
Joe Mantiply,"$570,500",573009
Deolis Guerra,"$570,500",500610
Corbin Martin,"$570,500",656686
Tony Santillan,"$570,500",663574
James Kaprielian,"$570,500",621076
Matt Peacock,"$570,500",676840
Art Warren,"$570,500",605521
Mac Sceroler,"$570,500",669135
Eric Lauer,"$570,500",641778
Hoby Milner,"$570,500",571948
Sean Reid-Foley,"$570,500",656887
Tyler Wells,"$570,500",669330
Angel Perdomo,"$570,500",622780
Ronald Bolanos,"$570,500",671790
Jake Brentz,"$570,500",641394
Kris Bubic,"$570,500",663460
Phil Bickford,"$570,500",641360
Jordan Yamamoto,"$570,500",657141
Trevor Megill,"$570,500",656730
Tommy Nance,"$570,500",667297
Carlos Hernandez,"$570,500",672578
Garrett Cleavinger,"$570,500",664076
Justin Steele,"$570,500",657006
Jackson Kowar,"$570,500",663804
Keegan Thompson,"$570,500",624522
Jeremy Beasley,"$570,500",676886
Travis Bergen,"$570,500",664157
Anthony Castro,"$570,500",621593
Josh Fleming,"$570,500",676596
Shane McClanahan,"$570,500",663556
Alek Manoah,"$570,500",666201
Tayler Saucedo,"$570,500",642048
Jason Foley,"$570,500",671345
Kyle Funkhouser,"$570,500",608335
J.T. Chargois,"$570,500",608638
Alex Lange,"$570,500",656638
Logan Gilbert,"$570,500",669302
Ljay Newsome,"$570,500",664714
Hector Santiago,"$570,500",502327
Bailey Falter,"$570,500",663559
Miguel Diaz,"$570,500",622766
Paul Sewald,"$570,500",623149
Spencer Howard,"$570,500",675921
Erik Swanson,"$570,500",657024
Will Vest,"$570,500",676684
Trey Wingenter,"$570,500",622259
JoJo Romero,"$570,500",668941
Sam Hentges,"$570,500",656529
Shaun Anderson,"$570,500",641312
Ranger Suarez,"$570,500",624133
Luke Farrell,"$570,500",608652
Kyle Nelson,"$570,500",669459
Anthony Bender,"$570,500",669622
Nick Sandlin,"$570,500",680704
Jeff Brigham,"$570,500",656257
Trevor Stephan,"$570,500",663986
Paul Campbell,"$570,500",669294
Griffin Jax,"$570,500",643377
Daniel Castano,"$570,500",641447
Ryan Burr,"$570,500",621114
Michael Kopech,"$570,500",656629
Braxton Garrett,"$570,500",666129
Tucker Davidson,"$570,500",656353
Luke Bard,"$570,500",572703
Bailey Ober,"$570,500",641927
Brandon Brennan,"$570,500",592165
Nestor Cortes,"$570,500",641482
James Hoyt,"$570,500",624586
Jordan Holloway,"$570,500",656548
Edgar Santana,"$570,500",650828
Luis Madero,"$570,500",650347
Devin Smeltzer,"$570,500",656970
Garrett Whitlock,"$570,500",676477
Nick Neidert,"$570,500",663734
Chris Rodriguez,"$570,500",669735
Zach Pop,"$570,500",647315
Cody Poteet,"$570,500",547001
Trevor Rogers,"$570,500",669432
Patrick Sandoval,"$570,500",663776
Zach Thompson,"$570,500",605507
Jose Suarez,"$570,500",660761
Paolo Espino,"$570,500",502179
Ryne Harper,"$570,500",607560
Brett de Geus,"$570,500",676969
Kyle McGowin,"$570,500",641851
Jefry Rodriguez,"$570,500",622446
Spencer Patton,"$570,500",607359
Kent Emanuel,"$570,500",592288
Hunter Wood,"$570,500",621056
Hyeon-Jong Yang,"$570,500",660365
Seth Elledge,"$570,500",676220
Francis Martes,"$570,500",642564
Junior Fernandez,"$570,500",658551
Nivaldo Rodriguez,"$570,500",670550
